team,conf,adjem,adjo,adjd,luck,Season,TeamID
brown,Ivy,-9.16,100.8,110.0,0.004,2018,1135
uc riverside,BW,-9.17,94.5,103.7,-0.067,2018,1415
uc riverside,BW,-9.17,94.5,103.7,-0.067,2018,1415
prairie view a&m,SWAC,-9.2,101.4,110.6,0.01,2018,1341
montana st.,BSky,-9.27,102.1,111.3,0.026000000000000002,2018,1286
pepperdine,WCC,-9.51,105.0,114.5,-0.055999999999999994,2018,1337
portland,WCC,-9.66,99.0,108.7,-0.001,2018,1339
morehead st.,OVC,-9.96,99.0,109.0,-0.069,2018,1287
fairleigh dickinson,NEC,-10.16,102.2,112.4,0.025,2018,1192
fairleigh dickinson,NEC,-10.16,102.2,112.4,0.025,2018,1192
lafayette,Pat,-10.17,101.8,112.0,-0.09699999999999999,2018,1248
umkc,WAC,-10.32,98.2,108.5,-0.009000000000000001,2018,1282
santa clara,WCC,-10.34,99.2,109.5,0.018000000000000002,2018,1365
santa clara,WCC,-10.34,99.2,109.5,0.018000000000000002,2018,1365
new hampshire,AE,-10.35,98.2,108.5,-0.069,2018,1306
new hampshire,AE,-10.35,98.2,108.5,-0.069,2018,1306
south florida,Amer,-10.45,98.8,109.3,-0.013000000000000001,2018,1378
south florida,Amer,-10.45,98.8,109.3,-0.013000000000000001,2018,1378
quinnipiac,MAAC,-10.46,101.7,112.2,0.079,2018,1346
arkansas st.,SB,-10.56,104.5,115.1,0.017,2018,1117
north florida,ASun,-10.65,107.7,118.4,0.07400000000000001,2018,1316
north florida,ASun,-10.65,107.7,118.4,0.07400000000000001,2018,1316
nebraska omaha,Sum,-10.67,104.1,114.7,0.012,2018,1303
nebraska omaha,Sum,-10.67,104.1,114.7,0.012,2018,1303
iupui,Horz,-10.72,98.3,109.0,0.03,2018,1237
sacramento st.,BSky,-10.77,99.8,110.6,-0.067,2018,1170
eastern kentucky,OVC,-10.96,101.7,112.6,0.017,2018,1184
eastern kentucky,OVC,-10.96,101.7,112.6,0.017,2018,1184
umass lowell,AE,-11.0,103.6,114.6,0.002,2018,1262
umass lowell,AE,-11.0,103.6,114.6,0.002,2018,1262
bethune cookman,MEAC,-11.05,99.5,110.6,0.025,2018,1126
rice,CUSA,-11.09,99.0,110.1,-0.040999999999999995,2018,1349
holy cross,Pat,-11.36,97.5,108.9,0.026000000000000002,2018,1221
holy cross,Pat,-11.36,97.5,108.9,0.026000000000000002,2018,1221
mcneese st.,Slnd,-11.47,100.6,112.1,-0.025,2018,1270
fordham,A10,-11.63,94.5,106.1,0.009000000000000001,2018,1200
western illinois,Sum,-11.65,96.1,107.7,0.006,2018,1442
western illinois,Sum,-11.65,96.1,107.7,0.006,2018,1442
tennessee martin,OVC,-11.66,95.5,107.2,-0.019,2018,1404
grambling st.,SWAC,-11.71,94.3,106.0,0.102,2018,1212
little rock,SB,-11.91,93.8,105.7,-0.057999999999999996,2018,1114
little rock,SB,-11.91,93.8,105.7,-0.057999999999999996,2018,1114
binghamton,AE,-11.93,97.4,109.4,-0.061,2018,1127
samford,SC,-12.0,107.7,119.7,-0.036000000000000004,2018,1359
dartmouth,Ivy,-12.09,98.5,110.6,-0.043,2018,1171
cleveland st.,Horz,-12.14,97.9,110.0,0.032,2018,1156
san jose st.,MWC,-12.27,95.4,107.7,-0.03,2018,1363
western carolina,SC,-12.3,95.7,108.0,0.102,2018,1441
western carolina,SC,-12.3,95.7,108.0,0.102,2018,1441
siena,MAAC,-12.38,96.5,108.9,-0.015,2018,1373
chattanooga,SC,-12.53,99.2,111.8,-0.024,2018,1151
sacred heart,NEC,-12.57,96.0,108.6,-0.076,2018,1357
sacred heart,NEC,-12.57,96.0,108.6,-0.076,2018,1357
north carolina a&t,MEAC,-12.68,98.1,110.8,0.098,2018,1299
east carolina,Amer,-12.78,96.7,109.5,0.026000000000000002,2018,1187
east carolina,Amer,-12.78,96.7,109.5,0.026000000000000002,2018,1187
charlotte,CUSA,-12.81,99.3,112.1,-0.024,2018,1150
kennesaw st.,ASun,-12.82,98.9,111.8,-0.023,2018,1244
central connecticut,NEC,-12.85,98.0,110.8,0.066,2018,1148
texas a&m corpus chris,Slnd,-12.88,94.5,107.4,-0.015,2018,1394
norfolk st.,MEAC,-13.14,95.4,108.6,0.002,2018,1313
st. francis ny,NEC,-13.17,98.7,111.8,0.022000000000000002,2018,1383
stetson,ASun,-13.27,98.5,111.8,-0.040999999999999995,2018,1391
the citadel,SC,-13.33,101.6,114.9,0.062,2018,1154
the citadel,SC,-13.33,101.6,114.9,0.062,2018,1154
north carolina central,MEAC,-13.41,96.6,110.0,0.019,2018,1300
north carolina central,MEAC,-13.41,96.6,110.0,0.019,2018,1300
savannah st.,MEAC,-13.55,100.9,114.5,0.10800000000000001,2018,1366
siu edwardsville,OVC,-13.61,99.4,113.0,0.069,2018,1188
siu edwardsville,OVC,-13.61,99.4,113.0,0.069,2018,1188
detroit,Horz,-14.2,102.6,116.8,-0.011000000000000001,2018,1178
jacksonville,ASun,-14.27,94.2,108.4,0.06,2018,1239
marist,MAAC,-14.47,98.5,112.9,-0.048,2018,1265
youngstown st.,Horz,-14.56,101.4,115.9,-0.01,2018,1464
loyola md,Pat,-14.58,96.2,110.8,0.02,2018,1259
loyola md,Pat,-14.58,96.2,110.8,0.02,2018,1259
morgan st.,MEAC,-14.82,96.3,111.1,-0.06,2018,1288
cal poly,BW,-14.98,98.2,113.2,0.051,2018,1142
cal poly,BW,-14.98,98.2,113.2,0.051,2018,1142
southern,SWAC,-15.51,94.3,109.8,0.051,2018,1380
northern arizona,BSky,-16.02,93.5,109.5,-0.03,2018,1319
northern arizona,BSky,-16.02,93.5,109.5,-0.03,2018,1319
american,Pat,-16.14,95.6,111.8,-0.061,2018,1110
arkansas pine bluff,SWAC,-16.45,93.6,110.0,0.044000000000000004,2018,1115
arkansas pine bluff,SWAC,-16.45,93.6,110.0,0.044000000000000004,2018,1115
cal st. northridge,BW,-16.46,96.7,113.2,-0.047,2018,1169
vmi,SC,-17.43,89.9,107.4,0.024,2018,1440
maine,AE,-17.46,90.9,108.4,-0.002,2018,1263
houston baptist,Slnd,-17.64,98.9,116.5,-0.092,2018,1223
houston baptist,Slnd,-17.64,98.9,116.5,-0.092,2018,1223
presbyterian,BSth,-17.66,97.8,115.5,0.062,2018,1342
howard,MEAC,-19.04,99.4,118.5,-0.039,2018,1224
alcorn st.,SWAC,-19.43,95.0,114.4,-0.055,2018,1108
jackson st.,SWAC,-19.6,89.4,109.0,0.062,2018,1238
usc upstate,ASun,-19.77,105.2,125.0,-0.051,2018,1367
usc upstate,ASun,-19.77,105.2,125.0,-0.051,2018,1367
alabama st.,SWAC,-19.86,95.8,115.7,-0.018000000000000002,2018,1106
longwood,BSth,-20.41,89.6,110.0,-0.039,2018,1255
florida a&m,MEAC,-21.21,95.6,116.8,0.04,2018,1197
incarnate word,Slnd,-21.6,93.5,115.1,-0.006,2018,1230
incarnate word,Slnd,-21.6,93.5,115.1,-0.006,2018,1230
south carolina st.,MEAC,-21.86,96.9,118.7,0.03,2018,1354
bryant,NEC,-22.06,98.7,120.7,-0.013000000000000001,2018,1136
northwestern st.,Slnd,-22.41,88.3,110.7,-0.08,2018,1322
chicago st.,WAC,-22.59,96.5,119.1,-0.063,2018,1152
coppin st.,MEAC,-23.97,86.5,110.5,-0.026000000000000002,2018,1164
mississippi valley st.,SWAC,-24.21,90.3,114.5,-0.032,2018,1290
maryland eastern shore,MEAC,-27.06,90.8,117.8,-0.018000000000000002,2018,1271
maryland eastern shore,MEAC,-27.06,90.8,117.8,-0.018000000000000002,2018,1271
delaware st.,MEAC,-27.94,90.3,118.3,-0.094,2018,1175
alabama a&m,SWAC,-28.31,86.6,114.9,-0.04,2018,1105
gonzaga,WCC,32.05,118.4,86.3,0.02,2017,1211
villanova,BE,29.88,122.4,92.5,0.01,2017,1437
north carolina,ACC,28.22,120.7,92.5,0.037000000000000005,2017,1314
north carolina,ACC,28.22,120.7,92.5,0.037000000000000005,2017,1314
kentucky,SEC,27.72,119.1,91.4,0.006,2017,1246
florida,SEC,27.5,116.9,89.5,-0.040999999999999995,2017,1196
kansas,B12,27.45,121.9,94.5,0.067,2017,1242
west virginia,B12,27.17,116.5,89.4,-0.043,2017,1452
west virginia,B12,27.17,116.5,89.4,-0.043,2017,1452
wichita st.,MVC,26.14,118.7,92.6,-0.021,2017,1455
louisville,ACC,25.51,117.2,91.7,-0.023,2017,1257
oregon,P12,25.02,118.2,93.2,0.034,2017,1332
smu,Amer,24.73,119.8,95.0,0.003,2017,1374
virginia,ACC,24.29,112.2,88.0,-0.03,2017,1438
baylor,B12,24.23,117.1,92.9,0.023,2017,1124
duke,ACC,24.17,121.0,96.8,0.013999999999999999,2017,1181
saint mary's,WCC,23.67,118.7,95.0,0.03,2017,1388
ucla,P12,23.63,124.0,100.4,0.021,2017,1417
iowa st.,B12,23.45,119.7,96.3,-0.019,2017,1235
arizona,P12,23.31,118.4,95.1,0.046,2017,1112
purdue,B10,23.12,117.0,93.9,0.016,2017,1345
michigan,B10,23.05,122.3,99.2,-0.025,2017,1276
wisconsin,B10,22.99,115.1,92.1,-0.003,2017,1458
oklahoma st.,B12,22.48,126.0,103.5,-0.071,2017,1329
cincinnati,Amer,22.18,114.9,92.8,0.026000000000000002,2017,1153
south carolina,SEC,20.8,108.9,88.1,-0.005,2017,1376
south carolina,SEC,20.8,108.9,88.1,-0.005,2017,1376
butler,BE,20.76,117.7,97.0,0.002,2017,1139
florida st.,ACC,20.06,115.5,95.5,0.039,2017,1199
notre dame,ACC,19.74,118.1,98.4,0.024,2017,1323
notre dame,ACC,19.74,118.1,98.4,0.024,2017,1323
creighton,BE,18.83,115.3,96.5,0.004,2017,1166
tcu,B12,17.51,114.5,97.0,-0.008,2017,1395
kansas st.,B12,17.44,113.0,95.6,-0.028999999999999998,2017,1243
xavier,BE,16.7,115.7,99.0,0.044000000000000004,2017,1462
marquette,BE,16.58,120.8,104.2,-0.057999999999999996,2017,1266
vanderbilt,SEC,16.53,112.4,95.9,-0.048,2017,1435
rhode island,A10,16.26,111.5,95.2,-0.033,2017,1348
rhode island,A10,16.26,111.5,95.2,-0.033,2017,1348
arkansas,SEC,16.25,116.1,99.8,0.086,2017,1116
wake forest,ACC,16.25,120.9,104.7,-0.043,2017,1448
wake forest,ACC,16.25,120.9,104.7,-0.043,2017,1448
minnesota,B10,16.0,109.7,93.7,0.022000000000000002,2017,1278
northwestern,B10,15.81,111.3,95.5,0.019,2017,1321
dayton,A10,15.57,111.9,96.3,-0.021,2017,1173
michigan st.,B10,15.51,111.4,95.9,-0.011000000000000001,2017,1277
texas tech,B12,15.11,112.6,97.5,-0.08199999999999999,2017,1403
texas tech,B12,15.11,112.6,97.5,-0.08199999999999999,2017,1403
miami fl,ACC,15.03,109.9,94.9,0.031,2017,1274
miami fl,ACC,15.03,109.9,94.9,0.031,2017,1274
middle tennessee,CUSA,14.95,112.2,97.2,0.011000000000000001,2017,1292
middle tennessee,CUSA,14.95,112.2,97.2,0.011000000000000001,2017,1292
indiana,B10,14.49,116.1,101.6,-0.09,2017,1231
clemson,ACC,14.46,114.9,100.5,-0.064,2017,1155
maryland,B10,14.34,113.1,98.7,0.061,2017,1268
utah,P12,14.2,113.5,99.3,-0.099,2017,1428
vcu,A10,14.07,110.1,96.0,0.026000000000000002,2017,1433
illinois st.,MVC,14.0,107.6,93.6,0.081,2017,1229
virginia tech,ACC,13.8,117.3,103.5,0.053,2017,1439
virginia tech,ACC,13.8,117.3,103.5,0.053,2017,1439
seton hall,BE,13.63,109.4,95.8,0.057999999999999996,2017,1371
seton hall,BE,13.63,109.4,95.8,0.057999999999999996,2017,1371
houston,Amer,13.61,113.5,99.9,-0.032,2017,1222
usc,P12,13.45,114.2,100.7,0.079,2017,1425
nevada,MWC,13.31,114.6,101.3,0.055,2017,1305
syracuse,ACC,13.31,115.7,102.3,-0.048,2017,1393
alabama,SEC,13.08,105.3,92.2,-0.055,2017,1104
tennessee,SEC,12.62,110.1,97.5,-0.053,2017,1397
princeton,Ivy,12.61,109.0,96.4,0.006999999999999999,2017,1343
unc wilmington,CAA,12.46,118.0,105.5,0.039,2017,1423
providence,BE,12.43,108.5,96.0,0.013999999999999999,2017,1344
georgia,SEC,12.39,108.7,96.3,0.015,2017,1208
california,P12,12.13,104.9,92.7,-0.012,2017,1143
vermont,AE,11.67,111.1,99.4,0.053,2017,1436
texas a&m,SEC,11.49,108.7,97.3,-0.042,2017,1401
oklahoma,B12,11.49,107.4,95.9,-0.102,2017,1328
illinois,B10,11.31,107.2,95.8,0.027999999999999997,2017,1228
east tennessee st.,SC,11.1,108.0,96.9,0.005,2017,1190
ucf,Amer,10.91,104.2,93.3,0.022000000000000002,2017,1416
georgetown,BE,10.72,108.4,97.7,-0.102,2017,1207
texas,B12,10.51,104.2,93.7,-0.105,2017,1400
iowa,B10,10.48,113.0,102.5,0.011000000000000001,2017,1234
colorado,P12,10.3,112.6,102.3,-0.05,2017,1160
ohio st.,B10,10.2,111.2,101.0,-0.054000000000000006,2017,1326
mississippi,SEC,10.16,111.1,100.9,0.062,2017,1279
ut arlington,SB,9.8,110.6,100.8,0.038,2017,1426
ut arlington,SB,9.8,110.6,100.8,0.038,2017,1426
bucknell,Pat,9.38,109.7,100.3,0.006,2017,1137
georgia tech,ACC,9.0,100.0,91.0,0.069,2017,1210
georgia tech,ACC,9.0,100.0,91.0,0.069,2017,1210
san diego st.,MWC,8.99,104.0,95.1,-0.10099999999999999,2017,1361
pittsburgh,ACC,8.72,112.4,103.7,0.044000000000000004,2017,1338
byu,WCC,8.66,109.1,100.5,0.006,2017,1140
monmouth,MAAC,8.61,109.1,100.5,0.07,2017,1284
auburn,SEC,8.52,111.9,103.3,0.045,2017,1120
belmont,OVC,8.17,110.8,102.7,0.069,2017,1125
new mexico st.,WAC,7.89,110.5,102.6,0.063,2017,1308
davidson,A10,7.7,108.4,100.7,-0.031,2017,1172
colorado st.,MWC,7.67,108.5,100.9,0.024,2017,1161
penn st.,B10,7.3,104.5,97.2,-0.013000000000000001,2017,1336
mississippi st.,SEC,7.27,106.6,99.3,-0.032,2017,1280
college of charleston,CAA,7.25,106.2,98.9,0.054000000000000006,2017,1158
college of charleston,CAA,7.25,106.2,98.9,0.054000000000000006,2017,1158
cal st. bakersfield,WAC,7.24,100.9,93.7,0.013999999999999999,2017,1167
st. bonaventure,A10,7.23,109.0,101.8,-0.027000000000000003,2017,1382
richmond,A10,7.21,110.0,102.8,0.043,2017,1350
louisiana tech,CUSA,7.06,107.9,100.9,-0.062,2017,1256
louisiana tech,CUSA,7.06,107.9,100.9,-0.062,2017,1256
boise st.,MWC,7.0,109.2,102.2,0.032,2017,1129
saint peter's,MAAC,6.67,102.5,95.9,-0.024,2017,1389
connecticut,Amer,6.53,105.2,98.7,-0.047,2017,1163
loyola chicago,MVC,6.45,108.9,102.5,-0.10400000000000001,2017,1260
loyola chicago,MVC,6.45,108.9,102.5,-0.10400000000000001,2017,1260
fresno st.,MWC,6.37,104.6,98.2,-0.001,2017,1201
st. john's,BE,6.26,109.0,102.7,-0.039,2017,1385
akron,MAC,6.1,112.6,106.4,0.084,2017,1103
memphis,Amer,6.02,107.0,101.0,0.026000000000000002,2017,1272
stanford,P12,5.91,104.8,98.9,-0.008,2017,1390
oakland,Horz,5.9,105.0,99.1,-0.011000000000000001,2017,1324
valparaiso,Horz,5.82,106.3,100.5,0.069,2017,1434
ohio,MAC,5.73,105.6,99.9,-0.07200000000000001,2017,1325
furman,SC,5.21,107.0,101.7,0.01,2017,1202
nebraska,B10,5.14,105.0,99.8,0.011000000000000001,2017,1304
florida gulf coast,ASun,5.07,109.4,104.4,0.037000000000000005,2017,1195
florida gulf coast,ASun,5.07,109.4,104.4,0.037000000000000005,2017,1195
north carolina st.,ACC,4.98,112.6,107.6,0.019,2017,1301
unc asheville,BSth,4.85,107.4,102.5,0.012,2017,1421
unc asheville,BSth,4.85,107.4,102.5,0.012,2017,1421
san francisco,WCC,4.74,102.8,98.0,0.008,2017,1362
san francisco,WCC,4.74,102.8,98.0,0.008,2017,1362
harvard,Ivy,4.73,106.7,101.9,-0.07,2017,1217
winthrop,BSth,4.53,106.1,101.6,0.028999999999999998,2017,1457
chattanooga,SC,4.32,106.6,102.3,-0.01,2017,1151
lehigh,Pat,4.23,107.5,103.3,-0.034,2017,1250
towson,CAA,4.22,105.5,101.2,-0.009000000000000001,2017,1406
iona,MAAC,4.2,110.8,106.6,0.013000000000000001,2017,1233
temple,Amer,3.93,108.3,104.3,0.015,2017,1396
new mexico,MWC,3.44,106.5,103.1,0.024,2017,1307
new mexico,MWC,3.44,106.5,103.1,0.024,2017,1307
old dominion,CUSA,3.44,100.7,97.2,-0.013000000000000001,2017,1330
old dominion,CUSA,3.44,100.7,97.2,-0.013000000000000001,2017,1330
unc greensboro,SC,3.19,107.7,104.5,0.11,2017,1422
buffalo,MAC,3.14,105.3,102.2,-0.053,2017,1138
george mason,A10,3.14,107.3,104.2,0.027000000000000003,2017,1206
george mason,A10,3.14,107.3,104.2,0.027000000000000003,2017,1206
arkansas st.,SB,2.99,106.3,103.3,0.022000000000000002,2017,1117
santa clara,WCC,2.81,105.5,102.7,-0.013999999999999999,2017,1365
santa clara,WCC,2.81,105.5,102.7,-0.013999999999999999,2017,1365
arizona st.,P12,2.81,111.9,109.1,0.035,2017,1113
wyoming,MWC,2.78,104.8,102.0,-0.004,2017,1461
toledo,MAC,2.69,108.8,106.1,-0.081,2017,1405
albany,AE,2.66,107.5,104.9,-0.038,2017,1107
utah st.,MWC,2.42,106.9,104.5,-0.066,2017,1429
georgia st.,SB,2.4,103.9,101.5,0.013999999999999999,2017,1209
george washington,A10,2.32,107.7,105.3,0.067,2017,1203
george washington,A10,2.32,107.7,105.3,0.067,2017,1203
william & mary,CAA,2.28,111.9,109.7,-0.003,2017,1456
missouri st.,MVC,2.27,108.3,106.0,-0.055,2017,1283
rutgers,B10,2.23,101.5,99.3,0.006,2017,1353
elon,CAA,2.19,104.4,102.2,-0.021,2017,1189
troy,SB,2.04,109.7,107.6,-0.023,2017,1407
northern kentucky,Horz,1.91,106.8,104.9,0.073,2017,1297
northern kentucky,Horz,1.91,106.8,104.9,0.073,2017,1297
uc irvine,BW,1.86,101.8,100.0,-0.011000000000000001,2017,1414
uc irvine,BW,1.86,101.8,100.0,-0.011000000000000001,2017,1414
la salle,A10,1.8,110.6,108.7,0.027999999999999997,2017,1247
la salle,A10,1.8,110.6,108.7,0.027999999999999997,2017,1247
kent st.,MAC,1.68,104.9,103.3,0.024,2017,1245
wofford,SC,1.54,109.9,108.4,-0.067,2017,1459
south dakota,Sum,1.48,104.2,102.7,0.066,2017,1377
south dakota,Sum,1.48,104.2,102.7,0.066,2017,1377
tulsa,Amer,1.44,104.3,102.9,0.055,2017,1409
mercer,SC,1.37,109.6,108.2,-0.064,2017,1273
louisiana lafayette,SB,1.29,111.1,109.8,0.034,2017,1418
utah valley,WAC,1.25,101.0,99.7,-0.085,2017,1430
utah valley,WAC,1.25,101.0,99.7,-0.085,2017,1430
eastern michigan,MAC,1.2,106.1,104.9,-0.078,2017,1185
eastern michigan,MAC,1.2,106.1,104.9,-0.078,2017,1185
marshall,CUSA,1.13,110.8,109.7,0.027000000000000003,2017,1267
southern illinois,MVC,1.09,104.8,103.7,0.047,2017,1356
southern illinois,MVC,1.09,104.8,103.7,0.047,2017,1356
yale,Ivy,1.01,106.2,105.2,0.055,2017,1463
grand canyon,WAC,0.97,101.6,100.6,0.078,2017,1213
grand canyon,WAC,0.97,101.6,100.6,0.078,2017,1213
fort wayne,Sum,0.84,108.8,108.0,-0.025,2017,1236
fort wayne,Sum,0.84,108.8,108.0,-0.025,2017,1236
evansville,MVC,0.83,104.1,103.2,-0.024,2017,1191
rice,CUSA,0.73,107.8,107.1,-0.027999999999999997,2017,1349
missouri,SEC,0.64,101.5,100.9,-0.16,2017,1281
jacksonville st.,OVC,0.63,105.8,105.2,0.027999999999999997,2017,1240
massachusetts,A10,0.63,100.6,100.0,-0.042,2017,1269
northeastern,CAA,0.63,107.0,106.4,-0.013999999999999999,2017,1318
tennessee st.,OVC,0.59,100.3,99.7,-0.016,2017,1398
north carolina central,MEAC,0.36,102.2,101.9,-0.055,2017,1300
north carolina central,MEAC,0.36,102.2,101.9,-0.055,2017,1300
western michigan,MAC,0.36,107.1,106.8,-0.016,2017,1444
western michigan,MAC,0.36,107.1,106.8,-0.016,2017,1444
washington,P12,0.34,107.7,107.4,-0.10300000000000001,2017,1449
wright st.,Horz,0.34,106.5,106.2,0.055999999999999994,2017,1460
lipscomb,ASun,0.3,107.3,107.0,-0.017,2017,1252
samford,SC,0.26,107.8,107.5,-0.036000000000000004,2017,1359
north dakota st.,Sum,0.19,104.6,104.4,0.081,2017,1295
north dakota,BSky,0.04,103.6,103.5,0.048,2017,1315
north dakota,BSky,0.04,103.6,103.5,0.048,2017,1315
northern iowa,MVC,0.01,97.6,97.6,0.054000000000000006,2017,1320
northern iowa,MVC,0.01,97.6,97.6,0.054000000000000006,2017,1320
siena,MAAC,-0.16,106.2,106.3,-0.009000000000000001,2017,1373
penn,Ivy,-0.2,102.6,102.8,-0.054000000000000006,2017,1335
lsu,SEC,-0.25,109.7,109.9,0.008,2017,1261
boston college,ACC,-0.27,103.9,104.2,-0.032,2017,1130
boston college,ACC,-0.27,103.9,104.2,-0.032,2017,1130
texas st.,SB,-0.36,101.3,101.7,0.016,2017,1402
loyola marymount,WCC,-0.4,103.0,103.4,0.025,2017,1258
loyola marymount,WCC,-0.4,103.0,103.4,0.025,2017,1258
nebraska omaha,Sum,-0.4,108.6,109.0,0.086,2017,1303
nebraska omaha,Sum,-0.4,108.6,109.0,0.086,2017,1303
texas a&m corpus chris,Slnd,-0.49,102.8,103.3,0.062,2017,1394
new orleans,Slnd,-0.52,101.3,101.8,0.046,2017,1309
new orleans,Slnd,-0.52,101.3,101.8,0.046,2017,1309
weber st.,BSky,-0.54,108.5,109.0,-0.03,2017,1451
ball st.,MAC,-0.62,104.7,105.3,0.040999999999999995,2017,1123
gardner webb,BSth,-0.76,102.7,103.5,-0.040999999999999995,2017,1205
gardner webb,BSth,-0.76,102.7,103.5,-0.040999999999999995,2017,1205
new hampshire,AE,-0.8,102.3,103.2,0.063,2017,1306
new hampshire,AE,-0.8,102.3,103.2,0.063,2017,1306
depaul,BE,-1.05,103.5,104.5,-0.069,2017,1177
saint joseph's,A10,-1.05,102.2,103.3,-0.032,2017,1386
south dakota st.,Sum,-1.19,110.2,111.4,0.028999999999999998,2017,1355
eastern washington,BSky,-1.25,109.6,110.8,0.08199999999999999,2017,1186
eastern washington,BSky,-1.25,109.6,110.8,0.08199999999999999,2017,1186
canisius,MAAC,-1.27,108.7,109.9,0.005,2017,1145
hofstra,CAA,-1.35,111.1,112.4,-0.034,2017,1220
denver,Sum,-1.41,107.7,109.2,-0.006999999999999999,2017,1176
green bay,Horz,-1.45,102.0,103.4,0.032,2017,1453
green bay,Horz,-1.45,102.0,103.4,0.032,2017,1453
east carolina,Amer,-1.49,97.0,98.5,0.013000000000000001,2017,1187
east carolina,Amer,-1.49,97.0,98.5,0.013000000000000001,2017,1187
boston university,Pat,-1.68,101.7,103.4,0.003,2017,1131
boston university,Pat,-1.68,101.7,103.4,0.003,2017,1131
washington st.,P12,-1.73,104.4,106.1,0.067,2017,1450
montana,BSky,-2.06,106.1,108.2,-0.05,2017,1285
georgia southern,SB,-2.08,105.2,107.3,0.049,2017,1204
georgia southern,SB,-2.08,105.2,107.3,0.049,2017,1204
uab,CUSA,-2.52,103.9,106.4,-0.008,2017,1412
murray st.,OVC,-2.61,107.2,109.8,-0.087,2017,1293
iupui,Sum,-2.76,107.0,109.8,-0.036000000000000004,2017,1237
indiana st.,MVC,-2.78,99.6,102.3,-0.009000000000000001,2017,1232
utep,CUSA,-2.93,99.7,102.7,-0.035,2017,1431
umbc,AE,-2.97,107.9,110.9,0.028999999999999998,2017,1420
fordham,A10,-3.05,97.0,100.0,-0.023,2017,1200
morehead st.,OVC,-3.06,106.7,109.8,-0.005,2017,1287
fairfield,MAAC,-3.3,99.8,103.1,0.038,2017,1193
northern illinois,MAC,-3.47,98.9,102.4,-0.038,2017,1296
northern illinois,MAC,-3.47,98.9,102.4,-0.038,2017,1296
navy,Pat,-3.47,99.9,103.4,-0.012,2017,1298
coastal carolina,SB,-3.56,101.8,105.4,0.05,2017,1157
coastal carolina,SB,-3.56,101.8,105.4,0.05,2017,1157
rider,MAAC,-3.7,100.9,104.6,0.047,2017,1351
mount st. mary's,NEC,-3.86,99.5,103.4,0.07400000000000001,2017,1291
tennessee martin,OVC,-3.92,106.7,110.6,0.11800000000000001,2017,1404
liberty,BSth,-3.93,99.9,103.8,0.037000000000000005,2017,1251
texas southern,SWAC,-4.04,103.5,107.5,0.125,2017,1411
texas southern,SWAC,-4.04,103.5,107.5,0.125,2017,1411
stony brook,AE,-4.1,101.8,105.9,0.05,2017,1392
stony brook,AE,-4.1,101.8,105.9,0.05,2017,1392
san jose st.,MWC,-4.1,100.4,104.5,0.077,2017,1363
holy cross,Pat,-4.23,98.7,102.9,0.022000000000000002,2017,1221
holy cross,Pat,-4.23,98.7,102.9,0.022000000000000002,2017,1221
idaho,BSky,-4.23,101.8,106.0,0.031,2017,1225
bradley,MVC,-4.29,98.4,102.7,0.018000000000000002,2017,1133
uc davis,BW,-4.41,97.8,102.2,0.131,2017,1413
uc davis,BW,-4.41,97.8,102.2,0.131,2017,1413
umkc,WAC,-4.42,103.0,107.4,0.065,2017,1282
eastern illinois,OVC,-4.83,100.1,105.0,-0.049,2017,1183
eastern illinois,OVC,-4.83,100.1,105.0,-0.049,2017,1183
houston baptist,Slnd,-5.08,105.2,110.2,0.052000000000000005,2017,1223
houston baptist,Slnd,-5.08,105.2,110.2,0.052000000000000005,2017,1223
air force,MWC,-5.22,104.3,109.5,-0.065,2017,1102
air force,MWC,-5.22,104.3,109.5,-0.065,2017,1102
james madison,CAA,-5.31,98.8,104.1,-0.065,2017,1241
james madison,CAA,-5.31,98.8,104.1,-0.065,2017,1241
duquesne,A10,-5.32,101.9,107.3,-0.075,2017,1182
long beach st.,BW,-5.48,104.6,110.1,0.036000000000000004,2017,1253
lamar,Slnd,-5.58,103.1,108.7,-0.013999999999999999,2017,1249
loyola md,Pat,-5.82,98.4,104.2,0.067,2017,1259
loyola md,Pat,-5.82,98.4,104.2,0.067,2017,1259
southeast missouri st.,OVC,-5.87,103.4,109.3,-0.038,2017,1369
central michigan,MAC,-6.01,111.6,117.6,0.053,2017,1141
central michigan,MAC,-6.01,111.6,117.6,0.053,2017,1141
army,Pat,-6.04,98.6,104.7,-0.063,2017,1119
southeastern louisiana,Slnd,-6.06,97.8,103.9,-0.054000000000000006,2017,1368
southeastern louisiana,Slnd,-6.06,97.8,103.9,-0.054000000000000006,2017,1368
western kentucky,CUSA,-6.15,103.0,109.1,0.048,2017,1443
western kentucky,CUSA,-6.15,103.0,109.1,0.048,2017,1443
stephen f. austin,Slnd,-6.19,96.7,102.9,0.04,2017,1372
sam houston st.,Slnd,-6.19,97.2,103.4,0.10099999999999999,2017,1358
columbia,Ivy,-6.26,101.1,107.3,-0.022000000000000002,2017,1162
oral roberts,Sum,-6.3,104.4,110.7,-0.077,2017,1331
oral roberts,Sum,-6.3,104.4,110.7,-0.077,2017,1331
charlotte,CUSA,-6.35,103.1,109.5,0.033,2017,1150
illinois chicago,Horz,-6.4,101.1,107.5,0.013999999999999999,2017,1227
portland st.,BSky,-6.5,104.3,110.8,-0.057,2017,1340
montana st.,BSky,-6.51,103.1,109.6,-0.025,2017,1286
tulane,Amer,-6.58,102.6,109.2,-0.075,2017,1408
