,CityID,City,State,Lat,Lng,ElevationMeters,TimezoneName,UTCOffsetHours
0,4001,Abilene,TX,32.4487364,-99.73314390000002,520.9115600585939,Central Daylight Time,-5.0
1,4002,Akron,OH,41.081444700000006,-81.51900529999998,292.6947631835938,Eastern Daylight Time,-4.0
2,4003,Albany,NY,42.65257929999999,-73.7562317,42.68008041381836,Eastern Daylight Time,-4.0
3,4004,Albuquerque,NM,35.0853336,-106.6055534,1583.1875,Mountain Daylight Time,-6.0
4,4005,Allentown,PA,40.6084305,-75.4901833,104.9155654907227,Eastern Daylight Time,-4.0
5,4006,Ames,IA,42.03078120000001,-93.6319131,274.2550659179688,Central Daylight Time,-5.0
6,4007,Amherst,MA,42.3732216,-72.5198537,95.78414916992188,Eastern Daylight Time,-4.0
7,4008,Anaheim,CA,33.8365932,-117.91430120000001,47.60859680175781,Pacific Daylight Time,-7.0
8,4009,Anchorage,AK,61.2180556,-149.90027780000003,33.1964111328125,Alaska Daylight Time,-8.0
9,4010,Ann Arbor,MI,42.2808256,-83.7430378,263.49282836914057,Eastern Daylight Time,-4.0
10,4011,Annapolis,MD,38.9784453,-76.4921829,13.445884704589838,Eastern Daylight Time,-4.0
11,4012,Arlington,TX,32.735687,-97.1080656,185.2654876708984,Central Daylight Time,-5.0
12,4013,Asheville,NC,35.5950581,-82.5514869,676.4351806640625,Eastern Daylight Time,-4.0
13,4014,Athens,GA,33.9519347,-83.357567,213.8323516845703,Eastern Daylight Time,-4.0
14,4015,Athens,OH,39.3292396,-82.1012554,219.3882598876953,Eastern Daylight Time,-4.0
15,4016,Atlanta,GA,33.7489954,-84.3879824,320.0387878417969,Eastern Daylight Time,-4.0
16,4017,Atlantic City,NJ,39.3642834,-74.4229266,3.922453641891478,Eastern Daylight Time,-4.0
17,4018,Auburn,AL,32.6098566,-85.48078249999998,215.4762725830078,Central Daylight Time,-5.0
18,4019,Auburn Hills,MI,42.6875323,-83.23410279999999,292.1078796386719,Eastern Daylight Time,-4.0
19,4020,Austin,TX,30.267153000000004,-97.7430608,149.1394653320312,Central Daylight Time,-5.0
20,4021,Bakersfield,CA,35.3732921,-119.0187125,122.5372314453125,Pacific Daylight Time,-7.0
21,4022,Baltimore,MD,39.2903848,-76.6121893,10.96754741668701,Eastern Daylight Time,-4.0
22,4023,Bangor,ME,44.80118210000001,-68.77781379999999,35.3848991394043,Eastern Daylight Time,-4.0
23,4024,Baton Rouge,LA,30.458282899999997,-91.1403196,15.10886287689209,Central Daylight Time,-5.0
