,Season,T1_TeamID,T2_TeamID,Game_CityID,Game_Lat,Game_Lng,Game_ElevationM,Game_TimeZone,Game_Offset,T1_Lat,T1_Lng,T2_Lat,T2_Lng,T1_Dist,T2_Dist,T1_Elevation,T2_Elevation,T1_elev_diff,T2_elev_diff
0,2003,1411,1421,4091,39.7589478,-84.1916069,225.5588531494141,Eastern Daylight Time,-4.0,29.763284000000002,-95.363272,35.600945,-82.554015,935.8116712128029,300.46555331126376,14.566981315612788,676.4351806640625,210.9918718338013,-450.87632751464844
1,2003,1173,1409,4324,47.6587802,-117.4260465,571.0994873046875,Pacific Daylight Time,-7.0,39.758948,-84.19160699999999,36.153982,-95.992775,1736.0123072578565,690.0629126889107,225.5588531494141,218.9133148193359,345.54063415527344,352.18617248535156
2,2003,1281,1356,4161,39.768403,-86.158068,222.7997283935547,Eastern Daylight Time,-4.0,38.951705,-92.33407199999999,37.727273,-89.21675,335.4377859904986,305.43692167246195,93.8056640625,126.3381576538086,128.9940643310547,96.4615707397461
3,2003,1266,1221,4161,39.768403,-86.158068,222.7997283935547,Eastern Daylight Time,-4.0,43.038739,-87.92828,42.262593,-71.802293,243.6945717031056,669.5576447891613,187.2318572998047,147.0316009521484,35.56787109375,75.76812744140628
4,2003,1231,1104,4039,42.3600825,-71.0588801,10.44776248931885,Eastern Daylight Time,-4.0,39.165325,-86.526386,33.209841,-87.569174,839.5844830302659,489.06557476105604,233.7287750244141,69.08901214599611,-223.28101253509524,-58.64124965667726
5,2003,1338,1447,4039,42.3600825,-71.0588801,10.44776248931885,Eastern Daylight Time,-4.0,40.442725,-79.958597,40.583438,-74.149588,480.72863565986046,534.248643925285,233.2363739013672,32.77705764770508,-222.78861141204834,-22.32929515838623
6,2003,1246,1428,4233,36.1626638,-86.78160159999999,152.9394073486328,Central Daylight Time,-5.0,37.988689,-84.477715,40.760779,-111.891047,179.04445099982797,1459.729777547061,291.1369323730469,1300.004516601562,-138.19752502441406,-1147.0651092529292
7,2003,1458,1409,4324,47.6587802,-117.4260465,571.0994873046875,Pacific Daylight Time,-7.0,43.073052000000004,-89.40123,36.153982,-95.992775,1392.299384577437,690.0629126889107,266.2826538085938,218.9133148193359,304.8168334960937,352.18617248535156
8,2003,1281,1266,4161,39.768403,-86.158068,222.7997283935547,Eastern Daylight Time,-4.0,38.951705,-92.33407199999999,43.038739,-87.92828,335.4377859904986,298.14560376110705,93.8056640625,187.2318572998047,128.9940643310547,35.56787109375
9,2003,1231,1338,4039,42.3600825,-71.0588801,10.44776248931885,Eastern Daylight Time,-4.0,39.165325,-86.526386,40.442725,-79.958597,839.5844830302659,229.16158153382054,233.7287750244141,233.2363739013672,-223.28101253509524,-222.78861141204834
10,2003,1246,1458,4216,44.977753,-93.2650108,254.7844543457031,Central Daylight Time,-5.0,37.988689,-84.477715,43.073052000000004,-89.40123,662.9860566071618,354.20448588641256,291.1369323730469,266.2826538085938,-36.35247802734378,-11.49819946289071
11,2003,1266,1338,4216,44.977753,-93.2650108,254.7844543457031,Central Daylight Time,-5.0,43.038739,-87.92828,40.442725,-79.958597,297.64530432762666,229.16158153382054,187.2318572998047,233.2363739013672,67.55259704589841,21.54808044433591
12,2003,1246,1266,4216,44.977753,-93.2650108,254.7844543457031,Central Daylight Time,-5.0,37.988689,-84.477715,43.038739,-87.92828,662.9860566071618,298.14560376110705,291.1369323730469,187.2318572998047,-36.35247802734378,67.55259704589841
13,2003,1112,1436,4301,40.7607793,-111.89104740000002,1300.004516601562,Mountain Daylight Time,-6.0,32.221743,-110.926479,44.47755,-73.200288,591.22239205917,651.1482441958917,756.5394287109375,59.67926025390625,543.4650878906245,1240.3252563476558
